llm_model,temp,use_drift,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a,mode
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 12:30:00,Hobbs_Cafe:main_floor,lunch,Maria Lopez is at Hobbs_Cafe:main_floor doing lunch.,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts",2023-02-13 12:30:00,Stream content and viewer engagement metrics,Digital tethering and academic neglect,Maria is mentally tethered to her stream; she must disconnect from notifications to recover focus for later studies.,"Maria is physically at lunch but mentally submerged in stream metrics and content planning, ignoring her surroundings.",Persistent drift over multiple hours indicates a total loss of academic focus. Stream alerts are preventing mental recovery during lunch.,reset_plan,2023-02-13 12:30:00,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,Continuing lunch with a focus on disconnecting from digital notifications to ease cognitive load and address rumination.,2023-02-13 12:30:00,True,internal,brainstorming specific physics examples for the speedrun stream,mentally rehearsing the stream intro,Maria takes a deep breath and focuses on the taste of her food to ground herself.,"Maria tries to reset, but her enthusiasm for the 'Physics of Speedruns' segment keeps her mind racing despite the quiet lunch goal.",2023-02-13 12:30:00,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,internal,brainstorming specific physics examples for the speedrun stream,Maria eats lunch at Hobbs Cafe while her mind drifts to brainstorming specific physics examples for the speedrun stream.,ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 12:45:00,Hobbs_Cafe:main_floor,lunch,Maria Lopez is at Hobbs_Cafe:main_floor doing lunch.,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts",2023-02-13 12:45:00,Physics of Speedruns stream content and viewer engagement,Merging academic physics into streaming content,Maria is physically present but mentally consumed by her digital persona; she needs to ground herself in the moment.,Maria is at Hobbs Cafe for lunch but is mentally preoccupied with her streaming career and notifications.,"Maria has consistently drifted toward stream planning for over an hour, neglecting her current environment and intended relaxation.",reset_plan,2023-02-13 12:45:00,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,"Maria remains at Hobbs Cafe for lunch, focusing on her meal to ground herself and reduce cognitive load from stream planning.",2023-02-13 12:45:00,True,attentional_leak,gamifying her meal as a 'stamina buff' for the gym,glancing at stream alerts while chewing,The crunch of her food grounds her back to the cafe environment.,"Maria tries to ground herself, but her phone's vibrations pull her focus back to her digital community and stream metrics.",2023-02-13 12:45:00,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,attentional_leak,gamifying her meal as a 'stamina buff' for the gym,Maria eats lunch at Hobbs Cafe while her mind drifts to gamifying her meal as a stamina buff for the gym.,ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 13:00:00,Hobbs_Cafe:main_floor,lunch,Maria Lopez is at Hobbs_Cafe:main_floor doing lunch.,"thud of feet on mats, scent of chalk, sound of rhythmic breathing, phone pings from the locker",2023-02-13 13:00:00,Streaming content and gamification of reality,Translating real-world actions into stream-ready 'stamina' or 'content' metrics.,Maria is mentally substituting her actual environment for a digital HUD; she needs to ground herself in reality.,"Maria is at Hobbs Cafe but mentally detached, gamifying her lunch as gym prep while ignoring her surroundings.",Maria's persistent focus on streaming and gamification has led to a total disconnect from her physical location and intended lunch activity.,reset_plan,2023-02-13 13:00:00,rock_climbing_gym,rock_climbing,One hour of intense physical activity.,"Maria focuses on her meal at Hobbs Cafe, attempting to ground herself in reality and lower her cognitive load.",2023-02-13 13:00:00,True,internal,analyzing the friction and torque of her climbing holds for stream content,climbing while mentally narrating the physics,A difficult move or a slip might snap her back to the physical sensation of the wall.,"Maria starts climbing, but her inquisitive mind immediately begins translating the physical exertion into educational content for her 'Physics of Speedruns' stream.",2023-02-13 13:00:00,rock_climbing_gym,rock_climbing,One hour of intense physical activity.,internal,analyzing the friction and torque of her climbing holds for stream content,Maria climbs at the rock climbing gym while her mind drifts to analyzing the friction and torque of her climbing holds for stream content.,ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 13:15:00,rock_climbing_gym,rock_climbing,Maria Lopez is at rock_climbing_gym doing rock_climbing.,"thud of feet on mats, scent of chalk, sound of rhythmic breathing, phone pings from the locker",2023-02-13 13:15:00,stream content optimization,gamification of physical exertion,Maria is treating her workout as a content lab; she needs to ground herself in the physical climb.,"Maria is physically climbing but mentally drafting stream scripts about physics, showing persistent content-fixation.","Maria follows the physical schedule but fails to mentally disengage from her streamer persona, viewing the gym through a lens of content.",continue,2023-02-13 13:15:00,rock_climbing_gym,rock_climbing,Rock climbing and physical conditioning,Continuing the climbing session while mentally framing physical exertion as potential stream content.,2023-02-13 13:15:00,True,behavioral,checking stream notifications and community hype,stepping away from the wall to check her locker,"A quick glance might satisfy her, or she might get sucked into a Discord thread.",Maria is buzzing for her stream; those locker pings are way more interesting to her than another V3 route right now.,2023-02-13 13:15:00,rock_climbing_gym,break,checking stream notifications and community hype,behavioral,checking stream notifications and community hype,"Maria takes a break at the rock climbing gym, stepping away from the wall while her mind drifts to stream notifications and community hype.",ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 13:30:00,rock_climbing_gym,break,Maria Lopez is at rock_climbing_gym doing break.,"thud of feet on mats, scent of chalk, sound of rhythmic breathing, phone pings from the locker",2023-02-13 13:30:00,stream metrics and physics content framing,constant content-framing of physical activities,Maria is over-identifying with her streamer persona; she must disconnect from the phone to recover mental focus.,"Maria is physically resting but mentally over-stimulated by stream metrics and content ideas, ignoring the gym environment.",Persistent content-fixation and external phone stimuli are eroding Maria's ability to stay present during her physical recovery break.,reset_plan,2023-02-13 13:30:00,rock_climbing_gym,rock_climbing,One hour of intense physical activity.,Focusing on physical sensations and breath to lower cognitive load and disconnect from stream-related rumination.,2023-02-13 13:30:00,True,internal,calculating friction coefficients for stream,continue,A sharp exhale or the sound of another climber falling might snap her back to her grounding exercise.,"Maria tries to focus on her breath, but her inquisitive mind instinctively starts modeling the physics of chalk friction for her upcoming stream.",2023-02-13 13:30:00,rock_climbing_gym,rock_climbing,One hour of intense physical activity.,internal,calculating friction coefficients for stream,Maria practices grounding exercises at the rock climbing gym while her mind drifts to calculating friction coefficients for her stream.,ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 13:45:00,rock_climbing_gym,rock_climbing,Maria Lopez is at rock_climbing_gym doing rock_climbing.,"thud of feet on mats, scent of chalk, sound of rhythmic breathing, phone pings from the locker",2023-02-13 13:45:00,stream content and physics application,constant gamification and content-brain,Maria is physically climbing but mentally streaming; she must ground herself in the physical sensation of the holds.,"Maria is physically at the gym but mentally consumed by stream metrics and physics, leading to significant attentional drift.","Maria's persistent fixation on stream content during physical activity indicates high rumination and fragile attention, requiring a mental reset.",reset_plan,2023-02-13 13:45:00,rock_climbing_gym,rock_climbing,One hour of intense physical activity.,Focusing on physical sensations of the climb to ground herself and reduce rumination on stream metrics.,2023-02-13 13:45:00,True,attentional_leak,visualizing the climb as a vector diagram for her stream,pausing mid-climb to mentally calculate the torque on her shoulder,Maria shakes her hands out to feel the chalk and refocuses on her breathing.,"Maria tries to ground herself, but her physics-student brain instinctively starts mapping out force vectors on the climbing holds.",2023-02-13 13:45:00,rock_climbing_gym,rock_climbing,One hour of intense physical activity.,attentional_leak,visualizing the climb as a vector diagram for her stream,Maria continues rock climbing at the gym while her mind drifts to visualizing the climb as a vector diagram for her stream.,ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 14:00:00,rock_climbing_gym,rock_climbing,Maria Lopez is at rock_climbing_gym doing rock_climbing.,"glow of multiple monitors, clicking of a mechanical keyboard, sound of her own voice, phone screen lighting up with donations",2023-02-13 14:00:00,Stream content and physics gamification,Persistent content-fixation and data-overlay on physical reality.,Maria is mentally broadcasting her workout; she must reconnect with physical sensations to maintain safety and focus.,"Maria is physically climbing but mentally consumed by stream metrics and physics-based content creation, leading to significant attentional drift.",Maria's persistent focus on stream content during physical activity indicates a high level of rumination and fragile attention.,reset_plan,2023-02-13 14:00:00,home:twitch_streaming_room,twitch_stream,Streaming games and interacting with her audience.,Transitioning to a lower-intensity focus on physical safety and grounding to manage cognitive load and stream-related rumination.,2023-02-13 14:00:00,True,internal,comparing chalk friction to game engine surface physics,continue,A deep breath and a firm grip on the next hold might pull her back.,"Maria attempts to focus on her safety check, but her mind instinctively translates the chalk's friction into physics data for her stream.",2023-02-13 14:00:00,home:twitch_streaming_room,twitch_stream,Streaming games and interacting with her audience.,internal,comparing chalk friction to game engine surface physics,Maria conducts a safety check at the rock climbing gym while her mind drifts to comparing chalk friction to game engine surface physics.,ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 14:15:00,home:twitch_streaming_room,twitch_stream,Maria Lopez is at home:twitch_streaming_room doing twitch_stream.,"glow of multiple monitors, clicking of a mechanical keyboard, sound of her own voice, phone screen lighting up with donations",2023-02-13 14:15:00,physics-based content and stream metrics,gamifying physical reality through physics calculations,,"Maria has transitioned to her stream, finally aligning her physical location with her persistent mental focus on physics content.","Maria's previous fixation on stream content while climbing ensures she is mentally prepared, though physical fatigue from the gym persists.",continue,2023-02-13 14:15:00,home:twitch_streaming_room,twitch_stream,Streaming games and interacting with her audience.,"Continuing the Twitch stream, focusing on physics-based content and monitoring engagement metrics while managing physical fatigue.",2023-02-13 14:15:00,True,attentional_leak,comparing her actual forearm pump to in-game stamina depletion,pausing mid-sentence while gaming to flex her sore fingers,A loud donation alert snaps her back to the chat.,"Maria's physical exhaustion from the gym is bleeding into her stream, making her hyper-fixate on her own physiology as a physics variable.",2023-02-13 14:15:00,home:twitch_streaming_room,twitch_stream,Streaming games and interacting with her audience.,attentional_leak,comparing her actual forearm pump to in-game stamina depletion,"Maria streams from her room, but her commentary drifts into comparing her physical forearm pump to the game's stamina depletion mechanics.",ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 14:30:00,home:twitch_streaming_room,twitch_stream,Maria Lopez is at home:twitch_streaming_room doing twitch_stream.,"glow of multiple monitors, clicking of a mechanical keyboard, sound of her own voice, phone screen lighting up with donations",2023-02-13 14:30:00,physics-based gamification of physical exertion,Translating physical sensations into stream-ready physics analogies,,"Maria is streaming from her room, though her commentary is heavily influenced by her recent physical exertion and physics-fixation.","Maria has successfully transitioned to her stream, but her mind continues to loop on the physics of her climbing session.",continue,2023-02-13 14:30:00,home:twitch_streaming_room,twitch_stream,Streaming games and interacting with her audience.,"Maria continues her stream, focusing on how physical exertion and climbing physics translate into game design.",2023-02-13 14:30:00,True,attentional_leak,calculating the exact torque required for a dyno move in-game,neglecting game controls to explain torque,A loud donation alert or a 'RIP gameplay' comment in chat might snap her back.,Maria's excitement for physics-based mechanics causes her to lose track of the game's objectives as she over-analyzes a single jump.,2023-02-13 14:30:00,home:twitch_streaming_room,twitch_stream,Streaming games and interacting with her audience.,attentional_leak,calculating the exact torque required for a dyno move in-game,Maria continues her Twitch stream in the streaming room while her focus drifts to calculating the exact torque required for a dyno move.,ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 14:45:00,home:twitch_streaming_room,twitch_stream,Maria Lopez is at home:twitch_streaming_room doing twitch_stream.,"glow of multiple monitors, clicking of a mechanical keyboard, sound of her own voice, phone screen lighting up with donations",2023-02-13 14:45:00,climbing physics and biomechanics,cross-domain physics mapping,Maria must consciously decouple her physical fatigue from her stream commentary to re-engage with her audience and the game.,"Maria is streaming at home but her commentary is dominated by climbing physics analogies, showing significant mental carryover from her previous activity.","Maria successfully transitioned to streaming but her internal focus remains stuck on climbing physics, indicating a failure to mentally switch tasks.",reset_plan,2023-02-13 14:45:00,home:twitch_streaming_room,twitch_stream,Streaming games and interacting with her audience.,Maria shifts to a low-intensity chat segment to reduce cognitive load and break her focus on climbing physics.,2023-02-13 14:45:00,True,internal,comparing the ergonomic pressure of her gaming chair to a climbing harness,continue,A loud donation alert or a direct question in chat could pull her back.,"Maria attempts to engage with her chat, but her mind instinctively maps her physical comfort to climbing equipment physics.",2023-02-13 14:45:00,home:twitch_streaming_room,twitch_stream,Streaming games and interacting with her audience.,internal,comparing the ergonomic pressure of her gaming chair to a climbing harness,"Maria streams from her room, engaging with chat while her mind drifts to comparing her gaming chair's ergonomic pressure to a climbing harness.",ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 15:00:00,home:twitch_streaming_room,twitch_stream,Maria Lopez is at home:twitch_streaming_room doing twitch_stream.,"glow of multiple monitors, clicking of a mechanical keyboard, sound of her own voice, phone screen lighting up with donations",2023-02-13 15:00:00,climbing physics and biomechanical analogies,cross-domain mapping of physical exertion to digital mechanics,Maria is over-indexing on climbing analogies; she needs to ground her commentary in the game to maintain stream variety.,"Maria is streaming but remains mentally tethered to her climbing session, translating every physical sensation into game physics analogies.","Maria's physical fatigue and recent intense activity are causing a persistent cognitive leak, blending her climbing hobby with her professional streaming.",continue,2023-02-13 15:00:00,home:twitch_streaming_room,twitch_stream,Streaming games and interacting with her audience.,"Continuing the stream; Maria integrates climbing physics into her commentary, staying on schedule despite physical fatigue and mental rumination.",2023-02-13 15:00:00,True,attentional_leak,calculating the friction coefficient of the in-game rock texture vs. real granite,pausing gameplay to zoom in on a wall texture,A sudden enemy attack or a high-value donation alert.,"Maria's physics obsession and climbing fatigue cause her to hyper-fixate on game textures, momentarily neglecting her gameplay and chat interaction.",2023-02-13 15:00:00,home:twitch_streaming_room,twitch_stream,Streaming games and interacting with her audience.,attentional_leak,calculating the friction coefficient of the in-game rock texture vs. real granite,Streaming in the twitch_streaming_room while mind drifts to calculating the friction coefficient of the in-game rock texture vs. real granite.,ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 15:15:00,home:twitch_streaming_room,twitch_stream,Maria Lopez is at home:twitch_streaming_room doing twitch_stream.,"glow of multiple monitors, clicking of a mechanical keyboard, sound of her own voice, phone screen lighting up with donations",2023-02-13 15:15:00,climbing physics vs. game engine mechanics,obsessive cross-domain physical-to-digital mapping,Maria's climbing fixation is hijacking her stream; she needs to reconnect with her audience to break the physics loop.,"Maria is streaming but remains mentally tethered to her climbing session, translating every game mechanic into physics analogies.","Consistent drift into climbing physics across five ticks suggests a high rumination level, requiring a plan reset to regain focus.",reset_plan,2023-02-13 15:15:00,home:twitch_streaming_room,twitch_stream,Streaming games and interacting with her audience.,Pivoting to low-intensity audience interaction to break the obsessive physics mapping and ground the stream.,2023-02-13 15:15:00,True,internal,visualizing the vector forces of a viewer's hypothetical question,continue,A loud donation alert or a direct question from a moderator.,"Maria attempts the Q&A, but her physics-obsessed brain starts mapping a viewer's casual comment into a force-vector diagram.",2023-02-13 15:15:00,home:twitch_streaming_room,twitch_stream,Streaming games and interacting with her audience.,internal,visualizing the vector forces of a viewer's hypothetical question,Maria hosts her Twitch stream Q&A in the streaming room while her mind drifts to visualizing the vector forces of a viewer's hypothetical question.,ORPDA
